symbol,exchange,timeframe,timestamp,close,price_return_pct,price_return_zscore,oi,oi_change_pct,oi_change_zscore,volume_zscore,funding_rate,funding_classification,funding_percentile_90d,sma200,distance_to_sma200_pct,breakout_10_flag,breakout_20_flag,sma200_reclaim_flag,close_near_high,price_impulse,oi_impulse,first_impulse,early_bullish_score,blowoff_risk_score,signal_active,alert_triggered,last_signal_time,notes,forward_return_1_candle,forward_return_3_candles,forward_return_5_candles,max_favorable_excursion,max_adverse_excursion
BYBIT:HYPEUSDT.P,BYBIT,1d,2026-05-08T00:00:00+00:00,43.066,0.012936306331734038,0.20307196371894567,5047500.84,0.00081033204888592,0.16816248798958328,-0.8550077402632581,0.0001,EXTREME,100.0,33.9255,0.26942860090492404,False,False,False,True,False,False,True,7.9,62.6,False,False,,no price impulse; no OI impulse; first impulse; funding EXTREME,,,,,
BINANCE:LINKUSD.P,BINANCE,1d,2026-05-08T00:00:00+00:00,10.33,0.049583418004470525,1.3816319869224873,413090.0,-0.04353624624617669,-1.363309381769864,-0.43429228440733497,-0.00015063,NEGATIVE,3.03,11.478845000000002,-0.1000836756659752,True,True,False,True,True,False,True,50.1,9.7,False,False,,price impulse; no OI impulse; first impulse; funding NEGATIVE; breakout 20,,,,,
BYBIT:LTCUSDT.P,BYBIT,1d,2026-05-08T00:00:00+00:00,58.26,0.03297872340425534,1.2220181801795829,907892.7,-0.0048577013990088735,-0.06159621949565308,-0.49767279546641346,-1.954e-05,NEGATIVE,24.24,69.60325,-0.16297011992974475,True,True,False,True,False,False,True,47.6,8.6,False,False,,no price impulse; no OI impulse; first impulse; funding NEGATIVE; breakout 20,,,,,
OKX:MANAUSDT.P,OKX,1d,2026-05-08T00:00:00+00:00,0.0961,0.045474325500435286,1.3004131893492514,28035806.8,-0.00659717424200823,-0.15071450072096462,-0.7322951001614226,0.0001,EXTREME,100.0,0.13119240000000001,-0.26748805571054424,True,False,False,True,True,False,True,22.8,44.1,False,False,,price impulse; no OI impulse; first impulse; funding EXTREME; data fallback via BYBIT,,,,,
BINANCE:NEARUSD.P,BINANCE,1d,2026-05-08T00:00:00+00:00,1.569,0.06952965235173814,1.4114486536982227,130536.0,-0.028937854284141418,-1.389096028658308,0.19009159863027159,0.0001,EXTREME,100.0,1.55321,0.01016604322660819,True,True,True,True,True,False,True,39.7,46.7,False,False,,price impulse; no OI impulse; first impulse; funding EXTREME; breakout 20; SMA200 reclaim,,,,,
BYBIT:OPUSDT.P,BYBIT,1d,2026-05-08T00:00:00+00:00,0.16199,0.09571158008657998,2.1587947657323667,115537777.0,-0.016669815046263525,-0.31577754154167215,0.9230719924217509,9.474e-05,NEUTRAL,54.55,0.23742984999999997,-0.31773532266477855,True,True,False,True,True,False,True,68.1,22.8,False,False,,price impulse; no OI impulse; first impulse; funding NEUTRAL; breakout 20,,,,,
OKX:PEPEUSDT.P,OKX,1d,2026-05-08T20:18:18.137400+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0.0,False,False,,BYBIT: params error: Symbol Is Invalid; BINANCE: 400 Client Error: Bad Request for url: https://fapi.binance.com/fapi/v1/klines?symbol=PEPEUSDT&interval=1d&limit=260; BITGET: Bitget public client has no reliable historical OI endpoint in this MVP,,,,,
BYBIT:APTUSDT.P,BYBIT,1d,2026-05-08T00:00:00+00:00,1.116,0.08718947881149552,1.8671213556174544,19662441.98,-0.01845714260189646,-0.5029972654772126,0.1866542291193109,0.0001,EXTREME,100.0,1.5865015000000002,-0.2965654302879638,True,True,False,True,True,False,True,41.0,48.8,False,False,,price impulse; no OI impulse; first impulse; funding EXTREME; breakout 20,,,,,
BYBIT:POLUSDT.P,BYBIT,1d,2026-05-08T00:00:00+00:00,0.10114,0.026489394093169416,0.8004312710783011,167123228.0,-0.038348629290614555,-0.7583269524756324,-0.6515525728253172,-4.984e-05,NEGATIVE,36.36,0.11906735000000002,-0.1505647853924692,True,True,False,True,False,False,True,40.8,5.6,False,False,,no price impulse; no OI impulse; first impulse; funding NEGATIVE; breakout 20,,,,,
BYBIT:RENDERUSDT.P,BYBIT,1d,2026-05-08T00:00:00+00:00,2.0126,0.03507508743056986,0.7316869656554095,5090963.2,0.013181404247336603,0.33020803337180266,-0.760579876289748,5e-05,EXTREME,100.0,1.7784910000000003,0.13163350278410157,False,False,False,False,False,False,True,19.0,55.6,False,False,,no price impulse; no OI impulse; first impulse; funding EXTREME,,,,,
